Name,Url,SizeOfOptionalHeader,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,BaseOfData,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfImage,SizeOfHeaders,CheckSum,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags
memtest.exe,http://www.824555.com/app/member/SportOption.php?uid=guest&langx=gb,224,9,0,361984,115712,0,6135,4096,372736,512,0,0,0,0,1,0,1036288,1024,485887,16,1024,1048576,4096,1048576,4096
ose.exe,http://9779.info/%E5%84%BF%E7%AB%A5%E7%AB%8B%E4%BD%93%E7%BA%B8%E8%B4%B4%E7%94%BB/,224,9,0,130560,19968,0,81778,4096,143360,512,5,1,0,0,5,1,159744,1024,188943,2,33088,1048576,4096,1048576,4096
setup.exe,http://9779.info/%E6%A0%91%E5%8F%B6%E7%B2%98%E8%B4%B4%E7%94%BB/,224,9,0,517120,621568,0,350896,4096,811008,512,5,1,0,0,5,1,1150976,1024,1159817,2,32832,1048576,4096,1048576,4096
DW20.EXE,http://9779.info/%E5%8F%A4%E4%BB%A3%E4%BA%8C%E5%8D%81%E5%9B%9B%E5%AD%9D%E5%B8%83%E8%B4%B4%E7%94%BB/,224,9,0,585728,369152,0,451258,4096,798720,512,5,1,0,0,5,1,962560,1024,867570,2,33088,1048576,4096,1048576,4096
dwtrig20.exe,http://chinacxyy.com/piccodejs-000.asp?lm2=191&x=3&y=2&w=90&h=63&open=1&n=10&tj=0,224,9,0,294912,247296,0,217381,4096,536576,512,5,1,0,0,5,1,552960,1024,579287,2,33088,1048576,4096,1048576,4096
airappinstaller.exe,http://9779.info/%E6%8A%98%E7%BA%B8%E6%89%87%E5%AD%90%E6%8B%BC%E8%B4%B4%E7%94%BB/,224,9,0,512,46592,0,4488,4096,8192,512,5,0,0,0,5,0,65536,1024,57436,2,34112,1048576,4096,1048576,4096
AcroBroker.exe,http://portal.dddgaming.com/docs/rules/15022/cn/game_cn.html?amluMjAxNQ%3D%3D,224,9,0,222720,67072,0,219331,4096,229376,512,5,0,0,0,5,0,303104,1024,359472,2,33088,1048576,4096,1048576,4096
AcroRd32.exe,http://9779.info/%E7%AE%80%E5%8D%95%E6%8A%98%E7%BA%B8%E7%B2%98%E8%B4%B4%E7%94%BB/,224,9,0,823808,650240,0,587663,4096,831488,512,5,0,0,0,5,0,1507328,1024,1495645,2,33088,1048576,4096,1048576,4096
AcroRd32Info.exe,http://9779.info/%E5%B9%BC%E5%84%BF%E7%B2%BD%E5%8F%B6%E8%B4%B4%E7%94%BB/,224,9,0,4096,7168,0,6751,4096,8192,512,5,0,0,0,5,0,24576,1024,28316,2,33088,1048576,4096,1048576,4096
AcroTextExtractor.exe,http://grasslandhotel.com.vn/index.php/component/djcatalog2/items/6-services,224,9,0,29696,12800,0,27055,4096,36864,512,5,0,0,0,5,0,57344,1024,90988,2,33088,1048576,4096,1048576,4096
AdobeCollabSync.exe,http://9779.info/%E4%BA%94%E8%B0%B7%E6%9D%82%E7%B2%AE%E4%BA%BA%E7%89%A9%E7%B2%98%E8%B4%B4%E7%94%BB/,224,9,0,917504,316928,0,833800,4096,921600,512,5,0,0,0,5,0,1257472,1024,1252241,2,33088,1048576,4096,1048576,4096
Eula.exe,http://9779.info/%E6%AF%9B%E7%BA%BF%E8%B4%B4%E7%94%BB%20%E5%9C%BA%E6%99%AF%E5%9B%BE/,224,9,0,53248,34816,0,53601,4096,57344,512,5,0,0,0,5,0,102400,1024,149705,2,33088,1048576,4096,1048576,4096
LogTransport2.exe,trtsport.cz,224,9,0,206848,102400,0,110150,4096,212992,512,5,0,0,0,5,0,323584,1024,318536,3,33088,1048576,4096,1048576,4096
reader_sl.exe,http://style.org.hc360.com/css/detail/mysite/siteconfig/pro_control.css,224,9,0,14848,14336,0,16529,4096,20480,512,5,0,0,0,5,0,40960,1024,80575,2,32768,1048576,4096,1048576,4096
AcrobatUpdater.exe,http://img14.360buyimg.com/n12/g12/M00/07/06/rBEQYVGV9NMIAAAAAAC3mn17ud8AABZ_wDjtTAAALey000.jpg%21q70.jpg,224,9,0,178688,134144,0,78084,4096,184320,512,5,0,0,0,5,0,339968,1024,356142,2,33088,1048576,4096,1048576,4096
AdobeARM.exe,http://9779.info/%E6%89%8B%E5%B7%A5%E6%B2%BE%E8%B4%B4%E7%94%BB%E5%9B%BE%E7%89%87/,224,9,0,413184,518144,0,160191,4096,417792,512,5,0,0,0,5,0,962560,1024,963805,2,33088,1048576,4096,1048576,4096
armsvc.exe,microencapsulation.readmyweather.com,224,9,0,37376,20992,0,30988,4096,45056,512,5,0,0,0,5,0,73728,1024,101081,2,33088,1048576,4096,1048576,4096
ReaderUpdater.exe,http://www.vilagnomad.com/tables/payday-loans-direct-lenders-only.php,224,9,0,178688,134144,0,78084,4096,184320,512,5,0,0,0,5,0,339968,1024,380588,2,33088,1048576,4096,1048576,4096
Adobe AIR Application Installer.exe,xo3fhvm5lcvzy92q.download,224,9,0,32256,91136,0,5926,4096,36864,512,5,0,0,0,5,0,139264,1024,177404,2,33088,1048576,4096,1048576,4096
Adobe AIR Updater.exe,http://www.wu8188.com/cl/tpl/five-star/ver1/css/five-star.css?v=ver15.32,224,9,0,31744,64512,0,5275,4096,36864,512,5,0,0,0,5,0,114688,1024,105476,2,33088,1048576,4096,1048576,4096
template.exe,http://9779.info/%E5%B9%BC%E5%84%BF%E5%9B%AD%E7%9A%B1%E7%BA%B9%E7%BA%B8%E7%B2%98%E8%B4%B4%E7%94%BB/,224,9,0,32256,26624,0,5926,4096,36864,512,5,0,0,0,5,0,77824,1024,64395,2,33088,1048576,4096,1048576,4096
csscan.exe,http://ak.imgfarm.com/images/nocache/vicinio/installers/205320000.S10570.1/507981-150710122501-S10570.1/VideoDownloadConvertAuto.exe_0,224,8,0,34304,54784,0,30939,4096,40960,512,4,0,4,0,5,0,110592,1024,131936,3,33088,1048576,4096,1048576,4096
dainstall.exe,http://www.0068555.com/cl/?module=System&method=LiveTop&args=livehall,224,8,0,37376,30720,0,39387,4096,45056,512,4,0,4,0,5,0,86016,1024,122876,3,33088,1048576,4096,1048576,4096
entvutil.exe,http://www.easycaptchas.com/2F3F28039730C12A5C112FE0D5FEFA2E.captcha?width=132&height=42,224,8,0,13824,7168,0,6123,4096,20480,512,4,0,4,0,5,0,36864,1024,53304,3,33088,1048576,4096,1048576,4096
fwinfo.exe,ru-net.cv.ua/wp-content/config/file.php,224,8,0,82944,95744,0,50929,4096,90112,512,5,0,5,0,5,0,192512,1024,214241,3,33088,1048576,4096,1048576,4096
mcshield.exe,proplast.co.nz,224,8,0,110592,47104,0,112683,4096,114688,512,4,0,4,0,5,0,176128,1024,161934,3,33088,1048576,4096,1048576,4096
mfeann.exe,http://9779.info/%E4%BA%94%E8%B0%B7%E6%9D%82%E7%B2%AE%E4%BA%BA%E7%89%A9%E7%B2%98%E8%B4%B4%E7%94%BB/,224,8,0,15872,10752,0,18203,4096,20480,512,4,0,4,0,5,0,40960,1024,85630,3,33088,1048576,4096,1048576,4096
mfefire.exe,http://haishundl.com/a/qinpengqipaiguanfangxiazai/20131019/263.html,224,8,0,98816,49664,0,101291,4096,106496,512,5,0,5,0,5,0,167936,1024,198772,3,33088,1048576,4096,1048576,4096
mfehidin.exe,http://9779.info/%E5%8D%8A%E7%AB%8B%E4%BD%93%E5%B9%BC%E5%84%BF%E5%89%AA%E8%B4%B4%E7%94%BB/,224,8,0,247808,110592,0,192030,4096,253952,512,5,0,5,0,5,0,372736,1024,388109,3,32768,1048576,4096,1048576,4096
EQNEDT32.EXE,http://9779.info/%E9%A3%9E%E6%9C%BA%E6%A0%91%E5%8F%B6%E7%B2%98%E8%B4%B4%E7%94%BB/,224,4,20,332800,229888,0,314688,4096,339968,4096,4,0,0,0,4,0,581632,1024,553332,2,0,1048576,4096,1048576,4096
ConvertInkStore.exe,http://9779.info/%E5%85%AD%E4%B8%80%E5%BF%AB%E4%B9%90%E7%B2%98%E8%B4%B4%E7%94%BB/,224,9,0,132608,12800,0,63060,4096,139264,512,6,1,6,1,6,1,155648,2048,167434,2,33088,262144,8192,1048576,4096
FlickLearningWizard.exe,http://zoetekroon.nl/wp-content/themes/simplo/js/jquery-1.4.2.min.js,224,9,0,111616,792064,0,62192,4096,118784,512,6,1,6,1,6,1,917504,1024,919547,2,33088,262144,8192,1048576,4096
mip.exe,http://3cf.ru/2015/07/20/cb-otozval-licenziu-y-gelendjik-banka/,224,9,0,758272,466432,0,122123,4096,765952,512,6,1,6,1,6,1,1236992,1024,1239545,2,33088,262144,8192,1048576,4096
pipanel.exe,http://9779.info/%E5%B0%91%E5%84%BF%E7%A7%8D%E5%AD%90%E7%B2%98%E8%B4%B4%E7%94%BB/,224,9,0,3584,2560,0,5224,4096,8192,512,6,1,6,1,6,1,20480,1024,29444,2,33088,262144,8192,1048576,4096
ShapeCollector.exe,http://img010.hc360.cn/g1/M01/41/73/wKhQMVHabJKEHondAAAAAFmPcEE181.jpg,224,9,0,201216,399872,0,35485,4096,208896,512,6,1,6,1,6,1,614400,1024,665506,2,33088,262144,8192,1048576,4096
TabTip.exe,http://9779.info/%E8%9D%8C%E8%9A%AA%E6%89%BE%E5%A6%88%E5%A6%88%E5%89%AA%E8%B4%B4%E7%94%BB/,224,9,0,102912,79360,0,78413,4096,110592,512,6,1,6,1,6,1,192512,1536,196250,2,33088,262144,8192,1048576,4096
InkWatson.exe,http://www.newstudy.net/community/Web_nMngr.aspx?acaidx=0&board_idx=360&pn=1&sflag=1&mflag=NOT&where=&keyword=,224,9,0,165376,178688,0,53624,4096,167936,512,6,1,6,1,6,1,356352,1024,380174,2,33088,262144,8192,1048576,4096
InputPersonalization.exe,http://www.711100.com/app/member/SportOption.php?uid=guest&langx=gb,224,9,0,222208,72192,0,58328,4096,229376,512,6,1,6,1,6,1,311296,1536,340136,2,33088,262144,8192,1048576,4096
msinfo32.exe,http://schertzauto.com/wp-content/plugins/gravityforms/css/formsmain.min.css?ver=1.9.11,224,9,0,140288,181248,0,105896,4096,147456,512,6,1,6,1,6,1,335872,1024,332407,2,33088,262144,8192,1048576,4096
FLTLDR.EXE,http://portal.dddgaming.com/docs/rules/15022/cn/game_cn.html?amluMjAxNQ%3D%3D,224,9,0,102912,10240,0,22706,4096,110592,512,5,1,0,0,5,1,126976,1024,142520,2,33088,1048576,4096,1048576,4096
LICLUA.EXE,http://schertzauto.com/wp-content/themes/NAPA%20AC%202014%20S/genericons/genericons.css?ver=3.0.2,224,9,0,26624,161792,0,9687,4096,36864,512,5,1,0,0,5,1,200704,1024,232534,2,33088,1048576,4096,1048576,4096
MSOICONS.EXE,http://www.bhxx.net/xxgl/UploadFiles_7485/201304/2013042315380148.jpg,224,9,0,0,467456,0,0,4096,4096,512,5,1,0,0,5,1,475136,512,500023,2,1024,1048576,4096,1048576,4096
MSOXMLED.EXE,http://grasslandhotel.com.vn/index.php/rooms/item/all/18-airticketservices,224,9,0,24064,86016,0,23874,4096,69632,512,5,1,0,0,5,1,122880,1024,172362,2,33088,1048576,4096,1048576,4096
Oarpmany.exe,socialsocietyedu.com/components/com_wa/config.bin,224,9,0,143360,26112,0,58164,4096,151552,512,5,1,0,0,5,1,176128,1024,192690,2,33088,1048576,4096,1048576,4096
ODeploy.exe,http://3cf.ru/2015/07/20/stroitelstvo-energomosta-v-krym-oboidetsia-v-47-mlrd-ryb/,224,9,0,157696,353280,0,49624,4096,172032,512,5,1,0,0,5,1,520192,1024,567530,3,33088,1048576,4096,1048576,4096
promo.exe,http://9779.info/%E5%84%BF%E7%AB%A5%E5%BD%A9%E7%BA%BF%E8%B4%B4%E7%94%BB/,224,9,0,2826240,1721344,0,2465724,4096,3170304,512,5,1,0,0,5,1,4558848,1024,4537109,2,33088,1048576,4096,1048576,4096
Setup.exe,http://chinacxyy.com/newscodejs.asp?lm2=201&list=9&icon=0&tj=0&font=10.5&hot=0&new=0&line=24&lmname=0&open=1&n=34&more=0&t=0&week=0&zzly=0&hit=0&pls=0&dot=0&tcolor=CCCCCC,224,9,0,517120,621568,0,350896,4096,811008,512,5,1,0,0,5,1,1150976,1024,1166162,2,32832,1048576,4096,1048576,4096
OSPPREARM.EXE,http://9779.info/%E5%B9%BC%E5%84%BF%E5%9B%AD%E6%89%8B%E5%B7%A5%E7%B2%98%E8%B4%B4%E7%94%BB%E6%95%99%E6%A1%88/,224,9,0,5120,2560,0,5750,4096,12288,512,5,1,0,0,5,1,24576,1024,51954,3,32832,1048576,4096,1048576,4096
OSPPSVC.EXE,http://www.xj9599.com/app/member/cps.php?uid=f554ab9b50d41d8cd98fra3&pages=cp,224,8,0,3984896,647168,0,1058372,4096,2584576,512,6,0,21315,20512,5,1,4644864,1024,4647946,3,33088,262144,24576,1048576,4096
SmartTagInstall.exe,http://www.824555.com/app/member/SportOption.php?uid=guest&langx=gb,224,9,0,4096,4096,0,5500,4096,8192,512,5,1,0,0,5,1,20480,1024,49091,2,33088,1048576,4096,1048576,4096
Wkconv.exe,http://www.pubyun.com/wiki/lib/exe/css.php?t=dokuwiki&tseed=f1f16e8c6142fab8553f2b9cfe045961,224,9,0,1080832,136192,0,112014,4096,1093632,512,5,1,0,0,5,1,1228800,1024,1207938,2,33088,1048576,4096,1048576,4096
VSTOInstaller.exe,sunusa.in,224,9,0,68096,12288,0,21174,4096,73728,512,5,0,9,0,5,0,98304,1024,140888,2,33088,1048576,8192,1048576,4096
DVDMaker.exe,http://www.jin0044.com/app/member/main.php?uid=guest&langx=zh-cn&page_site=ball,224,9,0,392192,1580032,0,61732,4096,397312,512,6,1,6,1,6,1,1982464,1024,2030815,2,33088,524288,65536,1048576,4096
ExtExport.exe,http://9779.info/%E5%B8%83%E8%B4%B4%E7%94%BB%E5%9B%BE%E7%89%87%E5%A4%A7%E5%85%A8%E7%AE%80%E5%8D%95/,224,10,0,17408,5120,0,18075,4096,24576,512,6,1,6,1,6,0,36864,1024,59748,2,33088,262144,8192,1048576,4096
iecleanup.exe,http://chinacxyy.com/newscodejs.asp?lm2=201&list=9&icon=0&tj=0&font=10.5&hot=0&new=0&line=24&lmname=0&open=1&n=34&more=0&t=0&week=0&zzly=0&hit=0&pls=0&dot=0&tcolor=CCCCCC,224,10,0,80896,78336,0,28759,4096,86016,512,6,1,6,1,5,1,172032,1024,138468,2,33088,262144,8192,1048576,4096
iediagcmd.exe,http://13801993263.com/wp-content/themes/glossy-stylo/style.css?ver=4.2.2,224,8,0,217088,86016,0,224990,8192,229376,4096,4,0,0,0,4,0,319488,4096,347855,3,34112,1048576,4096,1048576,4096
